name,decreasing_or_stable,variants,controversial,nodes,edges,density,modularity,embedding_dimension,assortativity,clustering_coefficient,mean_degree,embedding_dimension_slope,controversial_numbers
CENTRE,True,p1;p2;p3,True,1600;1488;1030,2887;2206;1727,0.0011284396497811;0.0009969918505181;0.001629445120628,0.6689746290509071;0.7197427439711527;0.6518471404636803,100;93;81,0.8220769139471122;0.7971635525100561;0.7422102687246362,0.047141023569264;0.02322326364803;0.0567946976909387,3.60875;2.96505376344086;3.353398058252427,-9.499999999999993,1
CLIMATE,False,p1;p2;p3,True,15061;6951;6567,43612;14214;12268,0.0001922769493479;0.0002942281479089;0.0002845154616806,0.5186521145849433;0.596734281342091;0.6277369935796449,451;456;389,0.6041286430854494;0.6540710559294816;0.6878985411589135,0.0505905227284647;0.0508866235710753;0.0363559646289674,5.791381714361596;4.089771255934398;3.736257042789706,-30.999999999999975,1
ECONOMICPOLICY,True,p1;p2;p3,False,3328;2734;2828,4775;3639;3950,0.0004312580922984;0.0004870167673489;0.0004940738654187,0.7786096653052273;0.7805069066064778;0.7521649735619292,351;296;281,0.8162402821734166;0.815169033409655;0.7910039386902649,0.0294009304239697;0.0202199139205997;0.0259882174690544,2.8695913461538463;2.662033650329188;2.7934936350777937,-34.99999999999996,2
EDUCATION,True,p1;p2;p3,False,7563;4312;4323,12940;6692;6362,0.000226257770267;0.0003599972284732;0.0003405051357829,0.687581645401795;0.7174552525269486;0.7408430735739286,527;447;361,0.7569401476755605;0.7615879120627761;0.7851161674203376,0.0418785476359121;0.0431711303138939;0.0301566875359672,3.4219225175195027;3.103896103896104;2.943326393708073,-82.99999999999987,2
FINNS,True,p1;p2;p3,True,1680;1685;1743,4377;3147;2952,0.0015517314728154;0.0011090592555523;0.0009722340238434,0.4775194383543403;0.6091933758693422;0.6365675331041928,93;77;61,0.5716750378262854;0.7378885611130682;0.7394877561948879,0.0497048505866234;0.0309968537067178;0.0351388900985422,5.210714285714285;3.735311572700297;3.387263339070568,-15.999999999999991,1
GREEN,False,p1;p2;p3,True,2225;1537;1757,4582;2670;3839,0.0009259558645218;0.0011309572218607;0.0012442906538505,0.5709159596477668;0.6217257921979549;0.575184383197603,116;78;92,0.6607675179655574;0.7245753672026002;0.6697130353848842,0.074984758335862;0.0566683236605864;0.0620399722504375,4.118651685393258;3.4743005855562785;4.369948776323279,-11.999999999999977,1
IMMIGRATION,True,p1;p2;p3,True,3373;2040;2879,7421;3780;5479,0.0006524669599031;0.0009087499639384;0.000661254812774,0.6178035101841994;0.6312217603090619;0.653129350409956,152;121;118,0.8993667727556879;0.8801188448199194;0.8064223481071208,0.0526245231071747;0.0415795002224844;0.0422082839604408,4.400237177586718;3.7058823529411766;3.806182702327197,-16.999999999999986,1
LEFT,True,p1;p2;p3,True,1226;783;531,2467;1269;669,0.0016426407430835;0.0020724931651821;0.0023771452936787,0.5489425146428191;0.6273934850632871;0.7319136385878126,91;55;53,0.6146586191696061;0.7057161097987062;0.8111489146745507,0.0437710917302278;0.039083515421429;0.0196971725896184,4.024469820554649;3.2413793103448274;2.519774011299435,-18.999999999999986,1
NATIONAL,True,p1;p2;p3,True,2703;1466;877,6932;2789;1393,0.0009491331971247;0.0012986045472111;0.0018132071247455,0.5827967271880928;0.6053937503029175;0.6531890299616223,166;71;55,0.7695214789631046;0.7245159168109571;0.7520440494131887,0.0859885428577821;0.0781754754486006;0.0473400800859951,5.129115797262301;3.8049113233287857;3.176738882554162,-55.499999999999986,1
SDP,True,p1;p2;p3,True,2084;1424;732,4646;2859;1055,0.0010702672120437;0.0014109098517927;0.0019716235712737,0.6161606807146117;0.5331375634169374;0.6691592731519956,108;75;47,0.7871686639705298;0.5965154422079351;0.7526554972911957,0.0636240771378488;0.0308356924323112;0.023286231548115,4.45873320537428;4.015449438202247;2.8825136612021858,-30.500000000000007,1
