name,variant,nodes,edges,controversial,single_hashtag,density,clustering_coefficient,modularity,assortativity,mean_degree,embedding_dimension
turvallisuus,p1,1797,1983,0,1,0.000614424188792754,0.009360797605463649,0.8441930387110408,0.9048666541824051,2.2070116861435727,191
turvallisuus,p2,1104,1118,0,1,0.000918115285059193,0.010177102190058969,0.8880763950448187,0.9219961127630945,2.0253623188405796,129
turvallisuus,p3,1136,1244,0,1,0.0009648197555376311,0.015997847102408334,0.8534799836643542,0.8976942395068356,2.1901408450704225,148
vaalit,p1,5132,8119,1,1,0.0003083286483379419,0.024523592467542602,0.7455605292143996,0.8161032588764304,3.1640685892439593,311
vaalit,p2,1936,2059,1,1,0.0005496294872616226,0.0087999202892603,0.8669615455288041,0.9111825200130996,2.1270661157024793,104
ihmisoikeudet,p1,1291,1812,0,1,0.0010880334336101454,0.04174975411134352,0.7199659858973048,0.7879894983446158,2.807126258714175,90
ihmisoikeudet,p2,1023,1379,0,1,0.0013189785615768824,0.02791857327705685,0.7176144182839979,0.7813026013552968,2.6959921798631474,92
ihmisoikeudet,p3,987,1206,0,1,0.001239233771278137,0.025335163914822635,0.7651618909322927,0.8211402029831365,2.443768996960486,95
nuoret,p1,2468,3115,0,1,0.0005116155620478813,0.026951628029786776,0.8109202868118589,0.8490764771191919,2.5243111831442464,248
nuoret,p2,2041,2498,0,1,0.0005999558078988577,0.02143730848788379,0.8160031628184854,0.8488366607280954,2.4478196962273397,274
nuoret,p3,1858,2471,0,1,0.0007161683630379451,0.03208639020660563,0.7856010335021826,0.8190041548186437,2.6598493003229278,224
yrittäjät,p1,981,1393,0,1,0.0014489587884083297,0.07595874791695183,0.6807914044636061,0.7343849369593741,2.8399592252803263,100
yrittäjät,p2,890,1326,0,1,0.0016759141062423378,0.09604975675926002,0.6440860251746597,0.7099059398027274,2.979775280898876,68
yrittäjät,p3,767,1014,0,1,0.0017258928176306588,0.06572147727452858,0.6703858019288151,0.7414840265660936,2.6440677966101696,64
suomi,p1,5209,5618,0,1,0.00020708870001966937,0.0054199083728589965,0.8708756791886325,0.9314622471685918,2.1570358994048764,76
suomi,p2,5029,5196,0,1,0.00020549073132395353,0.002745372270431672,0.8982190658889025,0.9369623008019927,2.0664147941936766,41
suomi,p3,7180,7795,0,1,0.00015122643767938134,0.004092215666351602,0.8690275710857234,0.9222607808390629,2.171309192200557,56
talous,p1,1790,2118,0,1,0.0006613975536409654,0.025311218435660462,0.8484492826895864,0.8826138649127919,2.3664804469273744,242
talous,p2,1571,1747,0,1,0.0007082997157881507,0.01509148892031314,0.8445764740536479,0.8790568892090022,2.224061107574793,210
talous,p3,1573,1934,0,1,0.0007821232665091097,0.02384942021097804,0.8065876617092063,0.8510589981627165,2.4589955499046408,139
LEFT,p1,1226,2467,1,0,0.0016426407430835304,0.04377109173022781,0.5489425146428191,0.6146586191696061,4.024469820554649,91
LEFT,p2,783,1269,1,0,0.002072493165182115,0.039083515421429085,0.6273934850632871,0.7057161097987062,3.2413793103448274,55
LEFT,p3,531,669,1,0,0.002377145293678712,0.019697172589618426,0.7319136385878126,0.8111489146745507,2.519774011299435,53
tutkimus,p1,1941,2263,0,1,0.0006009762212059891,0.028014829538232474,0.8331363405503704,0.8666904195939711,2.3317877382792376,268
tutkimus,p2,1779,2161,0,1,0.0006831987485544071,0.028701638389587673,0.7907604860981589,0.8316165202302896,2.4294547498594716,176
tutkimus,p3,1580,1722,0,1,0.0006902301568850658,0.017305121494249,0.8556185512079113,0.8927516567872859,2.179746835443038,201
liikenne,p1,1438,1725,0,1,0.0008347827096901577,0.018981185704831545,0.8110023944549465,0.8619822055629314,2.399165507649513,137
liikenne,p2,994,1054,0,1,0.001067837032264078,0.014569352209829604,0.8581305877312055,0.9058559256243186,2.1207243460764587,129
liikenne,p3,1182,1375,0,1,0.000984997944040655,0.02364672604529282,0.8099908760330579,0.8682505142411343,2.326565143824027,91
euvaalit2019,p2,6606,14006,1,1,0.00032099829875027015,0.06403508510196965,0.6901176040728674,0.765559171727713,4.240387526491069,316
euvaalit2019,p3,1392,1519,1,1,0.0007844972193989274,0.0057791206059982754,0.8197724586659825,0.8893042451277791,2.182471264367816,107
SDP,p1,2084,4646,1,0,0.0010702672120437543,0.06362407713784884,0.6161606807146117,0.7871686639705298,4.45873320537428,108
SDP,p2,1424,2859,1,0,0.0014109098517927784,0.03083569243231129,0.5331375634169374,0.5965154422079351,4.015449438202247,75
SDP,p3,732,1055,1,0,0.001971623571273725,0.023286231548115096,0.6691592731519956,0.7526554972911957,2.8825136612021858,47
digitalisaatio,p1,1687,1807,0,1,0.0006353097196410201,0.02518865661291932,0.864978137961301,0.8998281820333781,2.14226437462952,259
digitalisaatio,p2,1279,1269,0,1,0.0007763547665980245,0.025161450463279156,0.9294195525102756,0.9601117980706686,1.9843627834245505,213
digitalisaatio,p3,1445,1515,0,1,0.0007260684948576139,0.020675152883242637,0.8736751298892265,0.9124510962894606,2.096885813148789,231
ECONOMICPOLICY,p1,3328,4775,0,0,0.00043125809229844396,0.029400930423969743,0.7786096653052273,0.8162402821734166,2.8695913461538463,351
ECONOMICPOLICY,p2,2734,3639,0,0,0.0004870167673489184,0.020219913920599738,0.7805069066064778,0.815169033409655,2.662033650329188,296
ECONOMICPOLICY,p3,2828,3950,0,0,0.000494073865418782,0.02598821746905446,0.7521649735619292,0.7910039386902649,2.7934936350777937,281
luonto,p1,1733,2439,0,1,0.0008125785425959069,0.007318941578659854,0.712621418957117,0.7759012249147259,2.8147720715522215,101
luonto,p2,1993,2684,0,1,0.0006760609925905327,0.015734260519917952,0.7397307775169298,0.8007612538900436,2.6934269944806823,99
luonto,p3,1880,2542,0,1,0.0007195996059470293,0.00920135218832358,0.7124786668160583,0.7856945257684931,2.704255319148936,135
ilmasto,p1,3311,4993,0,1,0.0004555902188165239,0.026623499960535542,0.7322592506737552,0.7833805271743577,3.016007248565388,245
ilmasto,p2,2246,3367,0,1,0.0006677548009130809,0.038434418432719504,0.6857683932231007,0.7450775918935607,2.998219056099733,122
ilmasto,p3,2084,2860,0,1,0.0006588386195534088,0.02458047899529739,0.7295656266810113,0.7703574851787426,2.7447216890595008,153
nytonpakko,p1,3945,8051,1,1,0.0005174470469976374,0.048527682381025415,0.5703991667453606,0.6228274787231568,4.081622306717364,146
nytonpakko,p2,1225,1801,1,1,0.0012011471255168734,0.03864186688558103,0.6792718956493108,0.7620484292537291,2.9404081632653063,59
nytonpakko,p3,1045,1297,1,1,0.0011888393921061797,0.040248474402893114,0.733240637756664,0.8371497662902833,2.4822966507177036,34
rasismi,p1,1264,1888,1,1,0.0011826372811369354,0.022743738030151416,0.678688213695777,0.7549139960968875,2.9873417721518987,50
rasismi,p3,1221,2139,1,1,0.0014359366818383211,0.028231606909023516,0.5822760851096568,0.6340014293054255,3.5036855036855035,56
journalismi,p1,1285,1627,0,1,0.0009860964641138466,0.018330952716791315,0.7570454632169418,0.8467051543464684,2.532295719844358,40
journalismi,p2,1003,1215,0,1,0.0012089480062805595,0.016529066928785374,0.7927016545580788,0.8575412976346288,2.4227318045862414,52
journalismi,p3,1130,1437,0,1,0.0011263785792109864,0.0189289762394819,0.7636962104515854,0.8311158074478513,2.543362831858407,36
viestintä,p1,2408,2951,0,1,0.0005091393181846414,0.02302560135274683,0.8071829719370984,0.8405079440998431,2.450996677740864,330
viestintä,p2,2153,2576,0,1,0.0005559805026961601,0.0200113239186714,0.820667695835423,0.8590026971567307,2.392940083604273,265
viestintä,p3,1965,2579,0,1,0.0006682628275887087,0.0347197246947434,0.7739730074432726,0.8323656400963744,2.624936386768448,271
translaki,p1,2087,2377,1,1,0.0005459997307902042,0.010134925387356516,0.45705168855436756,0.8277979601891651,2.277910876856732,1
translaki,p2,990,1467,1,1,0.0014982994760547844,0.025863074388779533,0.6422471375486795,0.6841363587316454,2.963636363636364,34
tasaarvo,p1,3110,4043,0,1,0.0004181408813123191,0.020936167166245533,0.775242448403873,0.8167985187787337,2.6,276
tasaarvo,p2,1724,2177,0,1,0.0007328850962749103,0.023470533479209257,0.7590325550304695,0.7996529129283598,2.5255220417633413,81
tasaarvo,p3,2673,3666,0,1,0.0005132831979139364,0.02339978215766318,0.732209456919559,0.7969289885078807,2.7429854096520763,106
