theme,variant,d,embedding_dimension
journalismi,p1,,40
journalismi,p1,0.0,544
journalismi,p1,1.0,41
journalismi,p1,2.0,43
journalismi,p2,,52
journalismi,p2,0.0,416
journalismi,p2,1.0,53
journalismi,p2,2.0,54
journalismi,p3,,36
journalismi,p3,0.0,480
journalismi,p3,1.0,35
journalismi,p3,2.0,37
keskusta,p1,,100
keskusta,p1,0.0,666
keskusta,p1,1.0,100
keskusta,p1,2.0,100
keskusta,p2,,93
keskusta,p2,0.0,614
keskusta,p2,1.0,104
keskusta,p2,2.0,92
keskusta,p3,,81
keskusta,p3,0.0,425
keskusta,p3,1.0,80
keskusta,p3,2.0,78
poliisi,p1,,53
poliisi,p1,0.0,600
poliisi,p1,1.0,29
poliisi,p1,2.0,50
poliisi,p2,,13
poliisi,p2,0.0,732
poliisi,p2,1.0,6
poliisi,p2,2.0,14
poliisi,p3,,54
poliisi,p3,0.0,652
poliisi,p3,1.0,65
poliisi,p3,2.0,63
eduskunta,p2,,97
eduskunta,p2,0.0,585
eduskunta,p2,1.0,95
eduskunta,p2,2.0,96
eduskunta,p3,,58
eduskunta,p3,0.0,388
eduskunta,p3,1.0,51
eduskunta,p3,2.0,58
digitalisaatio,p1,,259
digitalisaatio,p1,0.0,707
digitalisaatio,p1,1.0,264
digitalisaatio,p1,2.0,261
digitalisaatio,p2,,213
digitalisaatio,p2,0.0,531
digitalisaatio,p2,1.0,341
digitalisaatio,p2,2.0,330
digitalisaatio,p3,,231
digitalisaatio,p3,0.0,614
digitalisaatio,p3,1.0,231
digitalisaatio,p3,2.0,236
lapset,p1,,200
lapset,p1,0.0,673
lapset,p1,1.0,148
lapset,p1,2.0,204
lapset,p2,,95
lapset,p2,0.0,658
lapset,p2,1.0,81
lapset,p2,2.0,100
lapset,p3,,97
lapset,p3,0.0,517
lapset,p3,1.0,87
lapset,p3,2.0,102
ilmastonmuutos,p1,,330
ilmastonmuutos,p1,0.0,3251
ilmastonmuutos,p1,1.0,330
ilmastonmuutos,p1,2.0,318
ilmastonmuutos,p2,,370
ilmastonmuutos,p2,0.0,1965
ilmastonmuutos,p2,1.0,341
ilmastonmuutos,p2,2.0,368
ilmastonmuutos,p3,,265
ilmastonmuutos,p3,0.0,1834
ilmastonmuutos,p3,1.0,296
ilmastonmuutos,p3,2.0,295
nuoret,p1,,248
nuoret,p1,0.0,1035
nuoret,p1,1.0,266
nuoret,p1,2.0,256
nuoret,p2,,274
nuoret,p2,0.0,845
nuoret,p2,1.0,227
nuoret,p2,2.0,273
nuoret,p3,,224
nuoret,p3,0.0,763
nuoret,p3,1.0,223
nuoret,p3,2.0,273
SOCIALSECURITY,p1,,534
SOCIALSECURITY,p1,0.0,3177
SOCIALSECURITY,p1,1.0,513
SOCIALSECURITY,p1,2.0,531
SOCIALSECURITY,p2,,363
SOCIALSECURITY,p2,0.0,1582
SOCIALSECURITY,p2,1.0,373
SOCIALSECURITY,p2,2.0,366
SOCIALSECURITY,p3,,398
SOCIALSECURITY,p3,0.0,1490
SOCIALSECURITY,p3,1.0,389
SOCIALSECURITY,p3,2.0,414
IMMIGRATION,p1,,152
IMMIGRATION,p1,0.0,1404
IMMIGRATION,p1,1.0,150
IMMIGRATION,p1,2.0,147
IMMIGRATION,p2,,121
IMMIGRATION,p2,0.0,849
IMMIGRATION,p2,1.0,110
IMMIGRATION,p2,2.0,109
IMMIGRATION,p3,,118
IMMIGRATION,p3,0.0,1199
IMMIGRATION,p3,1.0,111
IMMIGRATION,p3,2.0,115
turvallisuus,p1,,191
turvallisuus,p1,0.0,751
turvallisuus,p1,1.0,190
turvallisuus,p1,2.0,193
turvallisuus,p2,,129
turvallisuus,p2,0.0,468
turvallisuus,p2,1.0,137
turvallisuus,p2,2.0,129
turvallisuus,p3,,148
turvallisuus,p3,0.0,461
turvallisuus,p3,1.0,149
turvallisuus,p3,2.0,149
nytonpakko,p1,,146
nytonpakko,p1,0.0,1645
nytonpakko,p1,1.0,140
nytonpakko,p1,2.0,142
nytonpakko,p2,,59
nytonpakko,p2,0.0,510
nytonpakko,p2,1.0,63
nytonpakko,p2,2.0,63
nytonpakko,p3,,34
nytonpakko,p3,0.0,443
nytonpakko,p3,1.0,23
nytonpakko,p3,2.0,34
mielenterveys,p1,,128
mielenterveys,p1,0.0,494
mielenterveys,p1,1.0,138
mielenterveys,p1,2.0,130
mielenterveys,p2,,76
mielenterveys,p2,0.0,396
mielenterveys,p2,1.0,66
